Anaheim Ducks,Ducks,ANA
Arizona Coyotes,Coyotes,ARI
Boston Bruins,Bruins,BOS
Buffalo Sabres,Sabres,BUF
Calgary Flames,Flames,CAL
Carolina Hurricanes,Hurricanes,CAR
Chicago Blackhawks,Blackhawks,CHI
Colorado Avalanche,Avalanche,COL
Columbus Blue Jackets,Blue Jackets,CBJ
Dallas Stars,Stars,DAL
Detroit Red Wings,Red Wings,DET
Edmonton Oilers,Oilers,EDM
Florida Panthers,Panthers,FLA
Los Angeles Kings,Kings,LA
Minnesota Wild,Wild,MIN
Montreal Canadiens,Canadiens,MTL
Nashville Predators,Predators,NSH
New Jersey Devils,Devils,NJ
New York Islanders,Islanders,NYI
New York Rangers,Rangers,NYR
Ottawa Senators,Senators,OTT
Philadelphia Flyers,Flyers,PHI
Pittsburgh Penguins,Penguins,PIT
San Jose Sharks,Sharks,SJ
Seattle Kraken,Kraken,SEA
St. Louis Blues,Blues,STL
Tampa Bay Lightning,Lightning,TB
Toronto Maple Leafs,Maple Leafs,TOR
Vancouver Canucks,Canucks,VAN
Vegas Golden Knights,Golden Knights,VGK
Washington Capitals,Capitals,WAS
Winnipeg Jets,Jets,WPG