Arizona Diamondbacks,Diamondbacks,ARI,D-backs
Atlanta Braves,Braves,ATL
Baltimore Orioles,Orioles,BAL
Boston Red Sox,Red Sox,BOS
Chicago White Sox,White Sox,CHW
Chicago Cubs,Cubs,CHC
Cincinnati Reds,Reds,CIN
Cleveland Guardians,Guardians,CLE
Colorado Rockies,Rockies,COL
Detroit Tigers,Tigers,DET
Houston Astros,Astros,HOU
Kansas City Royals,Royals,KC,KC Royals
Los Angeles Angels,Angels,LAA,Los Angeles Angels of Anaheim, Los Angeles Angels (of Anaheim),LA Angels
Los Angeles Dodgers,Dodgers,LAD,LA Dodgers
Miami Marlins,Marlins,MIA
Milwaukee Brewers,Brewers,MIL
Minnesota Twins,Twins,MIN
New York Yankees,Yankees,NYY,NY Yankees
New York Mets,Mets,NYM,NY Mets
Oakland Athletics,Athletics,OAK,A's
Philadelphia Phillies,Phillies,PHI
Pittsburgh Pirates,Pirates,PIT
San Diego Padres,Padres,SD,SD Padres
San Francisco Giants,Giants,SF,SF Giants
Seattle Mariners,Mariners,SEA
St. Louis Cardinals,Cardinals,STL
Tampa Bay Rays,Rays,TB
Texas Rangers,Rangers,TEX
Toronto Blue Jays,Blue Jays,TOR
Washington Nationals,Nationals,WSH,Washington Nats,Nats